Ngày,Mở cửa,Đóng cửa,Thay đổi,% Thay đổi,KLGD khớp lệnh,KLGD thỏa thuận,KLGD tổng cộng,GTGD khớp lệnh (tỷ),GTGD thỏa thuận (tỷ),GTGD tổng cộng (tỷ)
03/06/2022,23.7,23.7,-4.1,-14.75%,100,0,100,0.0,0.0,0.0
02/06/2022,27.8,27.8,0.0,0,0,0,0,0.0,0.0,0.0
01/06/2022,27.8,27.8,0.3,1.09%,300,0,300,0.0,0.0,0.0
31/05/2022,27.2,28.0,-4.0,-12.50%,300,0,300,0.0,0.0,0.0
30/05/2022,32.0,32.0,4.1,14.70%,100,0,100,0.0,0.0,0.0
27/05/2022,27.9,27.9,3.6,14.81%,200,0,200,0.0,0.0,0.0
26/05/2022,24.3,24.3,0.0,0,0,0,0,0.0,0.0,0.0
25/05/2022,24.3,24.3,3.1,14.62%,400,0,400,0.0,0.0,0.0
24/05/2022,21.2,21.2,2.7,14.59%,100,0,100,0.0,0.0,0.0
23/05/2022,18.5,18.5,2.4,14.91%,300,0,300,0.0,0.0,0.0
20/05/2022,16.1,16.1,0.0,0,0,0,0,0.0,0.0,0.0
19/05/2022,16.1,16.1,0.0,0,0,100,0,0.0,0.0014,0.0014
18/05/2022,16.1,16.1,2.1,15.00%,100,200,100,0.0,0.0028,0.00441
17/05/2022,14.0,14.0,4.0,40.00%,100,0,100,0.0,0.0,0.0014
17/06/2022,19.0,17.9,-3.1,-14.76%,600,0,600,0.0,0.0,0.0
16/06/2022,21.0,21.0,-1.0,-4.55%,200,0,200,0.0,0.0,0.0
15/06/2022,22.0,22.0,0.0,0,0,0,0,0.0,0.0,0.0
14/06/2022,22.0,22.0,0.0,0,0,0,0,0.0,0.0,0.0
13/06/2022,22.0,22.0,0.0,0,100,0,100,0.0,0.0,0.0
10/06/2022,22.0,22.0,0.0,0,0,0,0,0.0,0.0,0.0
09/06/2022,22.0,22.0,-3.0,-12.00%,1100,0,1100,0.0,0.0,0.0
08/06/2022,25.0,25.0,0.0,0,0,0,0,0.0,0.0,0.0
07/06/2022,25.0,25.0,0.0,0,0,0,0,0.0,0.0,0.0
06/06/2022,25.0,25.0,1.3,5.49%,200,0,200,0.0,0.0,0.0
03/06/2022,23.7,23.7,-4.1,-14.75%,100,0,100,0.0,0.0,0.0
02/06/2022,27.8,27.8,0.0,0,0,0,0,0.0,0.0,0.0
01/06/2022,27.8,27.8,0.3,1.09%,300,0,300,0.0,0.0,0.0
31/05/2022,27.2,28.0,-4.0,-12.50%,300,0,300,0.0,0.0,0.0
30/05/2022,32.0,32.0,4.1,14.70%,100,0,100,0.0,0.0,0.0
27/05/2022,27.9,27.9,3.6,14.81%,200,0,200,0.0,0.0,0.0
26/05/2022,24.3,24.3,0.0,0,0,0,0,0.0,0.0,0.0
25/05/2022,24.3,24.3,3.1,14.62%,400,0,400,0.0,0.0,0.0
24/05/2022,21.2,21.2,2.7,14.59%,100,0,100,0.0,0.0,0.0
23/05/2022,18.5,18.5,2.4,14.91%,300,0,300,0.0,0.0,0.0
20/05/2022,16.1,16.1,0.0,0,0,0,0,0.0,0.0,0.0
19/05/2022,16.1,16.1,0.0,0,0,100,0,0.0,0.0014,0.0014
18/05/2022,16.1,16.1,2.1,15.00%,100,200,100,0.0,0.0028,0.00441
17/05/2022,14.0,14.0,4.0,40.00%,100,0,100,0.0,0.0,0.0014
17/06/2022,19.0,17.9,-3.1,-14.76%,600,0,600,0.0,0.0,0.0
16/06/2022,21.0,21.0,-1.0,-4.55%,200,0,200,0.0,0.0,0.0
15/06/2022,22.0,22.0,0.0,0,0,0,0,0.0,0.0,0.0
14/06/2022,22.0,22.0,0.0,0,0,0,0,0.0,0.0,0.0
13/06/2022,22.0,22.0,0.0,0,100,0,100,0.0,0.0,0.0
10/06/2022,22.0,22.0,0.0,0,0,0,0,0.0,0.0,0.0
09/06/2022,22.0,22.0,-3.0,-12.00%,1100,0,1100,0.0,0.0,0.0
08/06/2022,25.0,25.0,0.0,0,0,0,0,0.0,0.0,0.0
07/06/2022,25.0,25.0,0.0,0,0,0,0,0.0,0.0,0.0
06/06/2022,25.0,25.0,1.3,5.49%,200,0,200,0.0,0.0,0.0
03/06/2022,23.7,23.7,-4.1,-14.75%,100,0,100,0.0,0.0,0.0
02/06/2022,27.8,27.8,0.0,0,0,0,0,0.0,0.0,0.0
01/06/2022,27.8,27.8,0.3,1.09%,300,0,300,0.0,0.0,0.0
31/05/2022,27.2,28.0,-4.0,-12.50%,300,0,300,0.0,0.0,0.0
30/05/2022,32.0,32.0,4.1,14.70%,100,0,100,0.0,0.0,0.0
27/05/2022,27.9,27.9,3.6,14.81%,200,0,200,0.0,0.0,0.0
26/05/2022,24.3,24.3,0.0,0,0,0,0,0.0,0.0,0.0
25/05/2022,24.3,24.3,3.1,14.62%,400,0,400,0.0,0.0,0.0
24/05/2022,21.2,21.2,2.7,14.59%,100,0,100,0.0,0.0,0.0
23/05/2022,18.5,18.5,2.4,14.91%,300,0,300,0.0,0.0,0.0
20/05/2022,16.1,16.1,0.0,0,0,0,0,0.0,0.0,0.0
19/05/2022,16.1,16.1,0.0,0,0,100,0,0.0,0.0014,0.0014
18/05/2022,16.1,16.1,2.1,15.00%,100,200,100,0.0,0.0028,0.00441
17/05/2022,14.0,14.0,4.0,40.00%,100,0,100,0.0,0.0,0.0014
17/06/2022,19.0,17.9,-3.1,-14.76%,600,0,600,0.0,0.0,0.0
16/06/2022,21.0,21.0,-1.0,-4.55%,200,0,200,0.0,0.0,0.0
15/06/2022,22.0,22.0,0.0,0,0,0,0,0.0,0.0,0.0
14/06/2022,22.0,22.0,0.0,0,0,0,0,0.0,0.0,0.0
13/06/2022,22.0,22.0,0.0,0,100,0,100,0.0,0.0,0.0
10/06/2022,22.0,22.0,0.0,0,0,0,0,0.0,0.0,0.0
09/06/2022,22.0,22.0,-3.0,-12.00%,1100,0,1100,0.0,0.0,0.0
08/06/2022,25.0,25.0,0.0,0,0,0,0,0.0,0.0,0.0
07/06/2022,25.0,25.0,0.0,0,0,0,0,0.0,0.0,0.0
06/06/2022,25.0,25.0,1.3,5.49%,200,0,200,0.0,0.0,0.0
03/06/2022,23.7,23.7,-4.1,-14.75%,100,0,100,0.0,0.0,0.0
02/06/2022,27.8,27.8,0.0,0,0,0,0,0.0,0.0,0.0
01/06/2022,27.8,27.8,0.3,1.09%,300,0,300,0.0,0.0,0.0
31/05/2022,27.2,28.0,-4.0,-12.50%,300,0,300,0.0,0.0,0.0
30/05/2022,32.0,32.0,4.1,14.70%,100,0,100,0.0,0.0,0.0
27/05/2022,27.9,27.9,3.6,14.81%,200,0,200,0.0,0.0,0.0
26/05/2022,24.3,24.3,0.0,0,0,0,0,0.0,0.0,0.0
25/05/2022,24.3,24.3,3.1,14.62%,400,0,400,0.0,0.0,0.0
24/05/2022,21.2,21.2,2.7,14.59%,100,0,100,0.0,0.0,0.0
23/05/2022,18.5,18.5,2.4,14.91%,300,0,300,0.0,0.0,0.0
20/05/2022,16.1,16.1,0.0,0,0,0,0,0.0,0.0,0.0
19/05/2022,16.1,16.1,0.0,0,0,100,0,0.0,0.0014,0.0014
18/05/2022,16.1,16.1,2.1,15.00%,100,200,100,0.0,0.0028,0.00441
17/05/2022,14.0,14.0,4.0,40.00%,100,0,100,0.0,0.0,0.0014
17/06/2022,19.0,17.9,-3.1,-14.76%,600,0,600,0.0,0.0,0.0
16/06/2022,21.0,21.0,-1.0,-4.55%,200,0,200,0.0,0.0,0.0
15/06/2022,22.0,22.0,0.0,0,0,0,0,0.0,0.0,0.0
14/06/2022,22.0,22.0,0.0,0,0,0,0,0.0,0.0,0.0
13/06/2022,22.0,22.0,0.0,0,100,0,100,0.0,0.0,0.0
10/06/2022,22.0,22.0,0.0,0,0,0,0,0.0,0.0,0.0
09/06/2022,22.0,22.0,-3.0,-12.00%,1100,0,1100,0.0,0.0,0.0
08/06/2022,25.0,25.0,0.0,0,0,0,0,0.0,0.0,0.0
07/06/2022,25.0,25.0,0.0,0,0,0,0,0.0,0.0,0.0
06/06/2022,25.0,25.0,1.3,5.49%,200,0,200,0.0,0.0,0.0
03/06/2022,23.7,23.7,-4.1,-14.75%,100,0,100,0.0,0.0,0.0
02/06/2022,27.8,27.8,0.0,0,0,0,0,0.0,0.0,0.0
01/06/2022,27.8,27.8,0.3,1.09%,300,0,300,0.0,0.0,0.0
31/05/2022,27.2,28.0,-4.0,-12.50%,300,0,300,0.0,0.0,0.0
30/05/2022,32.0,32.0,4.1,14.70%,100,0,100,0.0,0.0,0.0
27/05/2022,27.9,27.9,3.6,14.81%,200,0,200,0.0,0.0,0.0
26/05/2022,24.3,24.3,0.0,0,0,0,0,0.0,0.0,0.0
25/05/2022,24.3,24.3,3.1,14.62%,400,0,400,0.0,0.0,0.0
24/05/2022,21.2,21.2,2.7,14.59%,100,0,100,0.0,0.0,0.0
23/05/2022,18.5,18.5,2.4,14.91%,300,0,300,0.0,0.0,0.0
20/05/2022,16.1,16.1,0.0,0,0,0,0,0.0,0.0,0.0
19/05/2022,16.1,16.1,0.0,0,0,100,0,0.0,0.0014,0.0014
18/05/2022,16.1,16.1,2.1,15.00%,100,200,100,0.0,0.0028,0.00441
17/05/2022,14.0,14.0,4.0,40.00%,100,0,100,0.0,0.0,0.0014
17/06/2022,19.0,17.9,-3.1,-14.76%,600,0,600,0.0,0.0,0.0
16/06/2022,21.0,21.0,-1.0,-4.55%,200,0,200,0.0,0.0,0.0
15/06/2022,22.0,22.0,0.0,0,0,0,0,0.0,0.0,0.0
14/06/2022,22.0,22.0,0.0,0,0,0,0,0.0,0.0,0.0
13/06/2022,22.0,22.0,0.0,0,100,0,100,0.0,0.0,0.0
10/06/2022,22.0,22.0,0.0,0,0,0,0,0.0,0.0,0.0
09/06/2022,22.0,22.0,-3.0,-12.00%,1100,0,1100,0.0,0.0,0.0
08/06/2022,25.0,25.0,0.0,0,0,0,0,0.0,0.0,0.0
07/06/2022,25.0,25.0,0.0,0,0,0,0,0.0,0.0,0.0
06/06/2022,25.0,25.0,1.3,5.49%,200,0,200,0.0,0.0,0.0
03/06/2022,23.7,23.7,-4.1,-14.75%,100,0,100,0.0,0.0,0.0
02/06/2022,27.8,27.8,0.0,0,0,0,0,0.0,0.0,0.0
01/06/2022,27.8,27.8,0.3,1.09%,300,0,300,0.0,0.0,0.0
31/05/2022,27.2,28.0,-4.0,-12.50%,300,0,300,0.0,0.0,0.0
30/05/2022,32.0,32.0,4.1,14.70%,100,0,100,0.0,0.0,0.0
27/05/2022,27.9,27.9,3.6,14.81%,200,0,200,0.0,0.0,0.0
26/05/2022,24.3,24.3,0.0,0,0,0,0,0.0,0.0,0.0
25/05/2022,24.3,24.3,3.1,14.62%,400,0,400,0.0,0.0,0.0
24/05/2022,21.2,21.2,2.7,14.59%,100,0,100,0.0,0.0,0.0
23/05/2022,18.5,18.5,2.4,14.91%,300,0,300,0.0,0.0,0.0
20/05/2022,16.1,16.1,0.0,0,0,0,0,0.0,0.0,0.0
19/05/2022,16.1,16.1,0.0,0,0,100,0,0.0,0.0014,0.0014
18/05/2022,16.1,16.1,2.1,15.00%,100,200,100,0.0,0.0028,0.00441
17/05/2022,14.0,14.0,4.0,40.00%,100,0,100,0.0,0.0,0.0014
17/06/2022,19.0,17.9,-3.1,-14.76%,600,0,600,0.0,0.0,0.0
16/06/2022,21.0,21.0,-1.0,-4.55%,200,0,200,0.0,0.0,0.0
15/06/2022,22.0,22.0,0.0,0,0,0,0,0.0,0.0,0.0
14/06/2022,22.0,22.0,0.0,0,0,0,0,0.0,0.0,0.0
13/06/2022,22.0,22.0,0.0,0,100,0,100,0.0,0.0,0.0
10/06/2022,22.0,22.0,0.0,0,0,0,0,0.0,0.0,0.0
09/06/2022,22.0,22.0,-3.0,-12.00%,1100,0,1100,0.0,0.0,0.0
08/06/2022,25.0,25.0,0.0,0,0,0,0,0.0,0.0,0.0
